Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_4,nu,4,Gonzaga RW,Emory KP,Aff,28.873,31.144,2.271,28.212,25.652,-2.56
nu_4,nu,4,Michigan State JS,Emory ST,Neg,27.26,24.819,-2.441,27.573,29.984,2.412
nu_4,nu,4,UTD HR,Iowa AP,Aff,27.26,30.291,3.031,29.766,26.735,-3.031
nu_4,nu,4,Michigan ES (Esmailzadeh/Sharma),UC Berkeley TB,Neg,28.346,26.102,-2.243,29.766,31.981,2.214
nu_4,nu,4,West Georgia DK,UTD KS,Neg,28.346,25.879,-2.466,28.645,31.079,2.435
nu_4,nu,4,Missouri State CN,Michigan State MM,Neg,26.449,24.314,-2.135,27.598,30.025,2.427
nu_4,nu,4,Michigan SG,Texas AF,Neg,28.645,26.059,-2.586,28.195,30.821,2.626
nu_4,nu,4,Kansas BW,Dartmouth CW,Neg,28.212,25.317,-2.896,27.07,29.966,2.896
nu_4,nu,4,Kansas HP,Michigan State GL,Neg,29.766,26.484,-3.282,26.302,29.395,3.094
nu_4,nu,4,UC Berkeley MR,Kansas WH,Neg,29.357,26.838,-2.519,28.645,31.318,2.673
nu_4,nu,4,Houston TY,Michigan State BS,Aff,29.766,31.78,2.014,27.37,25.197,-2.174
nu_4,nu,4,Gonzaga DW,Northwestern DR,Neg,27.42,25.387,-2.033,29.766,31.811,2.045
nu_4,nu,4,Harvard AB,Michigan BP,Neg,27.573,25.258,-2.315,28.212,30.769,2.557
nu_4,nu,4,NYU MS,Western Kentucky CS,Aff,22.427,24.477,2.05,20.234,18.159,-2.075
nu_4,nu,4,Western Kentucky FC,Southern California ZM,Aff,20.643,23.437,2.794,22.93,19.696,-3.234
nu_4,nu,4,Wake Forest EP,Southern Nazarene YH,Aff,22.74,25.019,2.279,21.654,19.345,-2.309
nu_4,nu,4,Wichita State GM,Michigan DS,Neg,21.654,18.828,-2.826,20.234,23.023,2.789
nu_4,nu,4,North Texas JW (Jones/Wofford),Western Kentucky SS,Neg,21.355,18.921,-2.435,21.654,24.121,2.466
nu_4,nu,4,Trinity PW,Wichita State MW,Aff,21.127,23.659,2.532,21.654,19.004,-2.651
nu_4,nu,4,Emory SW,Michigan ShSi,Neg,21.805,19.632,-2.174,23.698,25.716,2.017
nu_4,nu,4,Houston KS,Michigan AO,Neg,20.234,17.734,-2.5,20.234,22.734,2.5
nu_4,nu,4,Southern California CS,Wake Forest LS,Neg,21.788,19.333,-2.454,22.894,25.147,2.253
nu_4,nu,4,Kansas FS,Dartmouth KR,Neg,21.654,19.065,-2.589,21.355,23.911,2.556
nu_4,nu,4,Emory RT,Dartmouth BJ,Neg,17.282,15.064,-2.217,21.131,22.834,1.703
nu_4,nu,4,George Mason DF,Wake Forest BH,Aff,22.74,24.965,2.225,21.355,19.13,-2.225
nu_4,nu,4,Baylor KB,Cal State Fullerton AM,Aff,20.234,23.085,2.851,21.907,19.061,-2.847
nu_4,nu,4,Baylor LP,Oklahoma AW,Neg,14.329,11.829,-2.5,14.329,16.829,2.5
nu_4,nu,4,Houston DF,Southern California/UC Berkeley OM,Aff,20.234,23.023,2.789,21.654,18.828,-2.826
nu_4,nu,4,Missouri State CT,Trinity KM,Neg,14.735,13.445,-1.29,21.805,23.084,1.279
nu_4,nu,4,Indiana FM,Baylor LC,Neg,14.329,13.212,-1.117,22.427,23.531,1.104
nu_4,nu,4,Missouri State BK (Bodenhorn/Kimmerle),Cal State Fullerton MW,Aff,15.428,19.471,4.043,21.654,17.773,-3.881
nu_4,nu,4,Emory FW,Missouri State BG,Aff,14.329,16.902,2.573,14.735,12.099,-2.635
nu_4,nu,4,Emory BS (Bennett/Sanneh),Dartmouth MM,Aff,14.329,16.829,2.5,14.329,11.829,-2.5
nu_5,nu,5,Kansas WH,UTD KP,Aff,31.318,33.359,2.042,31.033,28.817,-2.216
nu_5,nu,5,Iowa BW,Emory RT,Neg,18.335,15.69,-2.645,15.064,18.451,3.386
nu_5,nu,5,Michigan State JS,Wake Forest CS,Neg,24.819,23.094,-1.724,27.048,28.916,1.868
nu_5,nu,5,Emory GH,Northwestern PS,Neg,38.171,36.035,-2.136,38.171,40.306,2.136
nu_5,nu,5,Kansas MR,Binghamton TC,Aff,38.171,40.182,2.011,37.55,35.463,-2.087
nu_5,nu,5,Wichita State MW,Wake Forest DS,Neg,19.004,16.91,-2.094,19.118,21.387,2.268
nu_5,nu,5,Emory BS (Bennett/Sanneh),Michigan State BS,Neg,16.829,15.971,-0.859,25.197,26.133,0.936
nu_5,nu,5,Kansas LS,Emory MR,Neg,30.7,28.591,-2.109,31.662,33.743,2.081
nu_5,nu,5,Georgetown RS,Texas AF,Aff,33.171,34.887,1.716,30.821,29.089,-1.732
nu_5,nu,5,Dartmouth BC,Georgetown CW,Aff,38.08,39.931,1.851,36.578,34.561,-2.016
nu_5,nu,5,Houston DF,Wake Forest BM,Neg,23.023,22.365,-0.658,33.171,33.837,0.666
nu_5,nu,5,Emory LY,UTD HR,Aff,33.171,34.804,1.633,30.291,28.692,-1.599
nu_5,nu,5,Emory PO,Michigan BP,Neg,29.476,27.434,-2.042,30.769,32.776,2.007
nu_5,nu,5,Kentucky AM,Houston TY,Aff,33.171,35.048,1.877,31.78,29.851,-1.93
nu_5,nu,5,Michigan State MM,Harvard GY,Neg,30.025,29.084,-0.941,38.171,39.055,0.884
nu_5,nu,5,Dartmouth CW,UTD KS,Aff,29.966,32.451,2.485,31.079,28.751,-2.328
nu_5,nu,5,Northwestern DR,Georgia IP,Neg,31.811,29.459,-2.352,30.868,33.197,2.329
nu_5,nu,5,Macalester HK,Michigan State GL,Aff,31.981,33.694,1.713,29.395,27.83,-1.565
nu_5,nu,5,Emory GY,Houston AK,Neg,29.568,27.64,-1.928,31.515,33.225,1.711
nu_5,nu,5,Gonzaga RW,Michigan SS,Neg,31.144,29.335,-1.809,32.798,34.677,1.879
nu_5,nu,5,Emory ST,CSU Long Beach OM,Neg,29.984,28.027,-1.958,30.741,32.909,2.168
nu_5,nu,5,UC Berkeley TB,Kansas WW,Aff,31.981,33.894,1.913,30.655,28.729,-1.926
nu_5,nu,5,West Georgia DK,Kansas BS,Aff,25.879,27.255,1.376,21.383,19.814,-1.569
nu_5,nu,5,Michigan ShSi,Northwestern AL,Aff,25.716,27.66,1.945,24.981,22.953,-2.028
nu_5,nu,5,Kansas HP,Trinity PW,Aff,26.484,28.078,1.594,23.659,22.059,-1.6
nu_5,nu,5,Baylor KB,Michigan ES (Esmailzadeh/Sharma),Neg,23.085,21.502,-1.582,26.102,27.747,1.644
nu_5,nu,5,Iowa AP,Western Kentucky SS,Aff,26.735,28.375,1.64,24.121,22.423,-1.698
nu_5,nu,5,Michigan DS,George Mason WR,Neg,23.023,21.399,-1.624,25.824,27.486,1.662
nu_5,nu,5,Michigan SG,Dartmouth KR,Aff,26.059,27.808,1.748,23.911,22.161,-1.75
nu_5,nu,5,Dartmouth BJ,Trinity KM,Aff,22.834,25.064,2.23,23.084,20.751,-2.333
nu_5,nu,5,UC Berkeley MR,George Mason DF,Aff,26.838,28.55,1.712,24.965,23.134,-1.831
nu_5,nu,5,Baylor LC,Emory CP,Neg,23.531,21.744,-1.787,26.102,27.806,1.703
nu_5,nu,5,Wake Forest LS,NYU MS,Aff,25.147,27.188,2.041,24.477,22.452,-2.025
nu_5,nu,5,Dartmouth CG,Michigan AO,Aff,26.479,27.932,1.452,22.734,21.24,-1.494
nu_5,nu,5,Kentucky GS,Harvard AB,Aff,22.957,25.576,2.619,25.258,22.679,-2.579
nu_5,nu,5,Kansas BW,Western Kentucky FC,Aff,25.317,27.24,1.924,23.437,21.746,-1.691
nu_5,nu,5,Emory KP,Gonzaga DW,Aff,25.652,27.872,2.219,25.387,23.294,-2.094
