Team,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Kansas BS,28.124,1.149,24.107,1.735,32.943,1.605,7,7,24.678
Michigan State FM,28.114,0.848,28.671,0.914,27.622,0.907,30,32,25.57
UTD HK,27.969,0.857,28.335,0.917,27.667,0.971,27,27,25.398
Michigan AO,27.808,0.862,27.303,0.993,28.005,0.994,20,23,25.221
Southern California BR,27.688,0.843,27.423,0.979,28.106,0.945,23,23,25.157
George Mason WW,27.592,0.857,29.279,0.93,25.273,0.912,30,29,25.022
Wake Forest LW,27.513,0.86,28.233,0.982,26.343,0.966,21,23,24.933
Emory AS,27.496,0.862,27.895,0.984,25.012,1.08,19,17,24.91
Kansas BW,27.424,0.827,22.861,0.922,30.659,0.92,26,27,24.942
Wake Forest MP,27.139,1.198,30.015,1.648,23.05,1.842,6,5,23.545
Michigan CS,26.957,0.871,23.591,1.082,29.782,1.069,16,15,24.343
Southern California DT,26.901,1.121,28.504,1.467,25.706,1.66,8,8,23.538
George Mason DG,26.693,1.083,19.338,1.923,31.009,1.509,7,7,23.443
Emory OP,26.687,1.118,31.009,1.711,26.486,1.536,8,7,23.332
Harvard AB,26.612,0.873,28.502,1.094,24.532,1.128,15,15,23.993
Southern California BM,26.436,0.912,26.913,1.122,26.134,1.112,14,15,23.699
Northwestern LL,26.417,0.879,25.922,0.984,26.289,1.021,24,21,23.781
Michigan State JS,26.394,0.86,27.512,0.93,25.291,0.954,25,25,23.813
Western Kentucky KC,26.205,0.999,28.423,1.497,24.537,1.279,6,8,23.209
Dartmouth JR,25.922,0.842,23.954,0.987,26.648,0.936,22,22,23.395
Wichita State GM,25.716,0.866,27.76,0.973,24.25,1.054,22,22,23.119
Wake Forest HN,25.511,0.882,23.188,1.127,27.829,1.057,19,18,22.865
Kansas JB,25.47,0.984,23.216,1.287,26.722,1.378,11,9,22.519
UTD DD,25.333,0.875,25.495,1.062,25.169,0.971,23,19,22.707
