Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_5,nu,5,George Mason WW,Emory GS,Neg,27.911,27.906,-0.005,41.816,41.821,0.006
nu_5,nu,5,Macalester CD,Missouri State HN,Neg,15.497,15.402,-0.095,21.068,21.146,0.077
nu_5,nu,5,Kansas LS,Harvard DS,Aff,42.359,42.371,0.012,30.742,30.73,-0.012
nu_5,nu,5,Emory LY,Michigan BP,Neg,34.727,34.695,-0.031,42.037,42.076,0.039
nu_5,nu,5,Northwestern AT,Emory GM,Neg,33.196,33.054,-0.142,31.464,31.657,0.193
nu_5,nu,5,Emory CF,Kansas State AS,Aff,25.617,25.801,0.184,24.764,24.555,-0.208
nu_5,nu,5,Wake Forest PS,Binghamton CK,Neg,30.457,30.392,-0.066,37.073,37.111,0.038
nu_5,nu,5,UC Berkeley BU,CSU Long Beach OM,Neg,29.696,29.662,-0.034,36.632,36.668,0.036
nu_5,nu,5,Michigan CC,Georgetown AC,Neg,31.127,31.087,-0.039,37.65,37.691,0.041
nu_5,nu,5,Michigan SS,Baylor DL,Aff,37.512,37.559,0.048,31.645,31.601,-0.044
nu_5,nu,5,Michigan ES,UTD PR,Aff,35.124,35.175,0.051,29.792,29.745,-0.047
nu_5,nu,5,UTD HK,Michigan State GS,Aff,29.339,29.456,0.117,29.676,29.556,-0.12
nu_5,nu,5,Emory KS,Northwestern LR,Neg,33.427,33.363,-0.064,37.737,37.8,0.062
nu_5,nu,5,Emory AS,Michigan State JS,Neg,28.527,28.392,-0.135,27.417,27.545,0.128
nu_5,nu,5,Wake Forest MP,Kentucky GS,Neg,27.707,27.548,-0.158,30.865,30.933,0.068
nu_5,nu,5,Western Kentucky CF,Kansas HM,Aff,23.405,23.418,0.013,9.423,9.406,-0.017
nu_5,nu,5,Emory OP,Wake Forest DE,Neg,27.013,26.782,-0.231,26.436,26.563,0.127
nu_5,nu,5,Missouri State NS,Wake Forest AB,Neg,23.488,23.377,-0.111,26.238,26.323,0.085
nu_5,nu,5,Kansas CS,UC Berkeley MR,Neg,24.232,24.203,-0.029,34.122,34.141,0.019
nu_5,nu,5,Kansas HP,Michigan AO,Aff,34.81,34.853,0.043,28.701,28.657,-0.044
nu_5,nu,5,Liberty CL,West Georgia KK,Aff,29.086,29.216,0.131,30.488,30.259,-0.23
nu_5,nu,5,Northwestern PS,Michigan State GL,Neg,33.75,33.669,-0.081,36.197,36.279,0.082
nu_5,nu,5,Iowa BS,Emory RY,Neg,23.697,23.672,-0.025,32.13,32.155,0.025
nu_5,nu,5,Iowa EW,Emory SW,Aff,30.223,30.246,0.023,21.428,21.387,-0.042
nu_6,nu,6,Michigan State JS,Northwestern PS,Neg,27.545,27.503,-0.042,33.669,33.711,0.042
nu_6,nu,6,Southern California BR,Michigan CS,Neg,29.441,29.307,-0.134,28.184,28.326,0.142
nu_6,nu,6,Northwestern LL,Wake Forest MP,Aff,27.042,27.165,0.124,27.548,27.292,-0.256
nu_6,nu,6,Kentucky GS,Iowa EW,Neg,30.933,30.817,-0.116,30.246,30.368,0.122
nu_6,nu,6,Binghamton CK,Michigan SS,Neg,37.111,37.004,-0.107,37.559,37.673,0.114
nu_6,nu,6,Michigan State GL,Michigan ES,Aff,36.279,36.379,0.099,35.175,35.074,-0.101
nu_6,nu,6,Wake Forest DE,George Mason DG,Neg,26.563,26.457,-0.106,27.436,27.61,0.173
nu_6,nu,6,North Texas VH,Macalester CD,Neg,15.638,15.379,-0.259,15.402,15.627,0.224
nu_6,nu,6,Kansas HL,Oklahoma BW,Aff,19.418,19.439,0.021,9.264,9.209,-0.054
nu_6,nu,6,UC Berkeley MR,Emory LY,Neg,34.141,34.027,-0.114,34.695,34.796,0.101
nu_6,nu,6,Michigan AM,Stanford LL,Neg,22.528,22.486,-0.043,29.752,29.793,0.041
nu_6,nu,6,Harvard AB,Western Kentucky CF,Aff,27.974,28.042,0.068,23.418,23.28,-0.139
nu_6,nu,6,Harvard FK,Wake Forest SK,Neg,2.116,2.1,-0.016,17.998,18.004,0.006
nu_6,nu,6,Georgia CK,Michigan State FM,Neg,26.435,26.354,-0.08,29.112,29.187,0.075
nu_6,nu,6,Michigan BP,UTD HK,Aff,42.076,42.085,0.009,29.456,29.449,-0.007
nu_6,nu,6,Kansas AU,Wake Forest PS,Neg,32.641,32.5,-0.141,30.392,30.639,0.247
nu_6,nu,6,Emory RY,Northwestern AT,Aff,32.155,32.28,0.125,33.054,32.924,-0.129
nu_6,nu,6,Wichita State GM,Emory KS,Neg,26.621,26.582,-0.038,33.363,33.403,0.04
nu_6,nu,6,Southern California MT,Arizona State SS,Aff,24.702,24.802,0.101,21.35,21.195,-0.155
nu_6,nu,6,Missouri State CG,Kansas CS,Neg,20.666,20.537,-0.128,24.203,24.314,0.11
nu_6,nu,6,UTD PR,UC Berkeley BU,Aff,29.745,29.852,0.107,29.662,29.555,-0.108
nu_6,nu,6,CSU Long Beach ES,Georgetown LN,Neg,17.906,17.827,-0.079,22.247,22.31,0.063
nu_6,nu,6,Trinity KP,George Mason WW,Neg,23.09,23.018,-0.072,27.906,27.96,0.054
nu_6,nu,6,Georgetown AC,Liberty CL,Aff,37.691,37.717,0.026,29.216,29.192,-0.025
nu_6,nu,6,Michigan AO,Kansas BW,Neg,28.657,28.532,-0.124,28.106,28.216,0.11
nu_6,nu,6,Emory GM,Kansas HP,Neg,31.657,31.558,-0.099,34.853,34.925,0.072
nu_6,nu,6,Georgia CP,Western Kentucky KN,Neg,22.641,22.53,-0.111,23.499,23.621,0.122
nu_6,nu,6,Indiana FT,Wyoming WW,Neg,14.338,14.265,-0.074,19.968,20.025,0.058
nu_6,nu,6,Harvard DS,Emory CF,Aff,30.73,30.79,0.06,25.801,25.705,-0.097
nu_6,nu,6,Wake Forest AB,Western Kentucky SS,Aff,26.323,26.392,0.069,22.28,22.204,-0.076
nu_6,nu,6,Northwestern LR,Kansas LS,Neg,37.8,37.74,-0.059,42.371,42.438,0.067
nu_6,nu,6,Gonzaga RW,Wake Forest HN,Aff,23.385,23.581,0.196,26.232,26.06,-0.172
nu_6,nu,6,Kansas HM,Emory OP,Neg,9.406,9.402,-0.004,26.782,26.785,0.003
nu_6,nu,6,Western Kentucky IP,George Mason RS,Aff,16.25,16.551,0.301,15.818,15.663,-0.155
nu_6,nu,6,CSU Long Beach OM,Kansas OW,Neg,36.668,36.52,-0.148,34.467,34.611,0.143
